dest_id,address,geoRef.lat,geoRef.lng
118,"Avenida Fuentes del Valle 600, Fuentes del Valle, Monterrey, Nuevo Leon",25.5091854,-100.1904146
119,"Avenida Fuentes del Valle 666b, Fuentes del Valle, San Pedro Garza García, Nuevo Leon",25.50921,-100.189307
120,"Avenida Fuentes del Valle Oriente 602, Fuentes del Valle, 66220 San Pedro Garza García, N.L.",25.5098886,-100.1940959
121,"Avenida Fuentes del Valle Oriente 602, Fuentes del Valle, 66220 San Pedro Garza García, N.L.",25.510003,-100.187154
122,"Avenida Fuentes del Valle Oriente 703, Zona La Diana, San Pedro Garza García, N.L.",25.510213,-100.187401
123,"Avenida Fuentes del Valle Oriente 703, Zona La Diana, San Pedro Garza García, N.L.",25.5103325,-100.1875612
124,"Avenida fundadores 1100, colonia jardin de las torres, monterrey nl",25.5104253,-100.188662
125,"Avenida Fundadores 1100, Jardín de Las Torres, Monterrey, Nuevo Leon",25.5105989,-100.1810158
126,"Avenida Fundadores 1100, Jardín de Las Torres, Monterrey, Nuevo Leon",25.5105989,-100.1810158
127,"Avenida Fundadores 1100, Jardín de Las Torres, Monterrey, Nuevo Leon",25.51074363,-100.1875333
128,"Avenida Fundadores 1100, Jardín de Las Torres, Monterrey, Nuevo Leon ",25.51078888,-100.1813536
129,"Avenida Fundadores 1200, Jardín de Las Torres, 64754 Monterrey, N.L., México",25.5114639,-100.1863233
130,"Avenida Fundadores 1200, Jardín de Las Torres, Monterrey, Nuevo Leon",25.51150692,-100.1843332
131,"Avenida Fundidores 1016, Villas de Oriente 1er Sector, San Nicolás de los Garza, Nuevo Leon",25.511507,-100.1843333
132,"Avenida Fundidores 517, La Estancia Sector 1-4, San Nicolás de los Garza, Nuevo Leon",25.511855,-100.1856666
133,"Avenida Fundidores 619, La Estancia Sector 1-4, San Nicolás de los Garza, Nuevo Leon",25.511918,-100.187002
134,"Avenida Galaxia 402, Metroplex I, Ciudad Apodaca, Nuevo Leon",25.511965,-100.190486
135,"Avenida Galaxia 429, Metroplex I, Ciudad Apodaca, Nuevo León",25.5119974,-100.1870379
136,"Avenida Garza sada 2128, colonia roma, monterrey NL",25.5121726,-100.1864097
137,"Avenida General Plutarco Elías Calles, Los Faisanes 1er Sector, Guadalupe, Nuevo León, México, 67169",25.513405,-100.184933
138,"Avenida Golondrinas 404, Paseo de Santa Rosa, Santa Rosa, N.L.",25.51365177,-100.1882263
139,"Avenida Golondrinas 528, Paseo de Santa Rosa, Santa Rosa, Nuevo Leon",25.5138435,-100.1864852
140,"Avenida Hacienda de Peñuelas, Cumbres Las Palmas Residencial, Monterrey, N.L., México",25.5142679,-100.1867826
141,"Avenida Hermosillo 100, Mitras Centro, 64460 Monterrey, N.L., México",25.5145077,-100.1870055
142,"Avenida Hermosillo 122, Mitras Centro, Monterrey, Nuevo Leon",25.5145143,-100.1870072
143,"Avenida Hermosillo 3206, Mitras Centro, Monterrey, Nuevo León",25.5145398,-100.1963968
144,"Avenida Humberto Lobo 159, Del Valle, 66220 San Pedro Garza García, N.L., México, San Pedro Garza García",25.5166087,-100.1879219
145,"Avenida Humberto Lobo 159, Del Valle, 66220 San Pedro Garza García, N.L., México, San Pedro Garza García",25.5167636,-100.2004861
146,"Avenida Humberto Lobo 159,Del Valle,San Pedro Garza García,Nuevo León,México",25.517437,-100.213793
147,"Avenida Humberto Lobo 171_11, Del Valle, 66220 San Pedro Garza García, N.L., Mexico, San Pedro Garza García",25.5176288,-100.1857441
148,"Avenida Humberto Lobo 2000, Del Valle, 66220 San Pedro Garza García, Nuevo León",25.5177875,-100.1993559
149,"Avenida Humberto Lobo 512, Del Valle, 66220 Model, N.L., México",25.518318,-100.190553
150,"Avenida Humberto Lobo 512, Del Valle, 66220 Model, N.L., México",25.51843124,-100.2034924
151,"Avenida Humberto Lobo 520, Del Valle, 66220 Monterrey, N.L., México",25.519243,-100.189764
152,"Avenida Humberto Lobo 520, Del Valle, 66230 San Pedro Garza García, N.L., México, San Pedro Garza García",25.51944,-100.2030857
153,"Avenida Humberto Lobo 520, Del Valle, San Pedro Garza García, Nuevo Leon",25.5194402,-100.2030859
154,"Avenida Humberto Lobo 520, Del Valle, San Pedro Garza García, Nuevo Leon",25.5198,-100.195819
155,"Avenida Humberto Lobo 520, Del Valle, San Pedro Garza García, Nuevo Leon",25.5198002,-100.1958189
156,"Avenida Humberto Lobo 520, Zona Los Callejones, 66230 San Pedro Garza García, N.L., México, San Pedro Garza García",25.5198002,-100.1958189
157,"Avenida Humberto Lobo 613, Del Valle, 66220 Monterrey, N.L., México, Monterrey",25.520552,-100.192873
158,"Avenida Humberto Lobo 900, Del Valle, San Pedro Garza García, N.L.",25.52134797,-100.1918057
159,"Avenida Ignacio Morones Prieto 2900, Sertoma, 64718 Monterrey, Nuevo León",25.52134827,-100.191806
160,"Avenida Ignacio Morones Prieto 810, Monterrey, N.L. , ,",25.5213485,-100.1918063
161,"Avenida Independencia 116, Valle de Huinala I, Apodaca, N.L.",25.5223072,-100.2103161
162,"avenida Independencia,Independencia,Apodaca,Nuevo León,México",25.5227402,-100.2090239
163,"Avenida Insurgentes 2121, Rincón de Las Colinas, Monterrey, Nuevo Leon",25.5227402,-100.2090239
164,"Avenida José Alvarado 2533, La Florida, Monterrey, N.L., México",25.522888,-100.207219
165,"Avenida José Alvarado 2533, La Florida, Monterrey, N.L., México",25.522888,-100.207219
166,"Avenida José Vasconcelos 109, Residencial San Agustín 2o Sector, 66260 San Pedro Garza García, N.L.",25.5228881,-100.2072191
167,"Avenida José Vasconcelos 111, Sin Nombre de Col 7, 66220 San Pedro Garza García, N.L., Mexico",25.523002,-100.209657
168,"Avenida José Vasconcelos 111, Sin Nombre de Col 7, 66220 San Pedro Garza García, N.L., Mexico",25.523088,-100.207416
169,"Avenida José Vasconcelos 111, Sin Nombre de Col 7, 66220 San Pedro Garza García, N.L., Mexico",25.52326951,-100.2088365
170,"Avenida José Vasconcelos 111, Sin Nombre de Col 7, 66220 San Pedro Garza García, N.L., México",25.523332,-100.191931
171,"Avenida José Vasconcelos 1501, Los Sabinos, 66226 San Pedro Garza García, N.L., Mexico",25.52398281,-100.2101438
172,"Avenida José Vasconcelos 154, Jardines del Campestre, 66267 San Pedro Garza García, N.L.",25.52414,-100.210197
173,"Avenida José Vasconcelos 154, Valle del Campestre, 66267 San Pedro Garza García, N.L., México",25.524147,-100.210191
175,"Avenida José Vasconcelos 154, Valle del Campestre, 66267 San Pedro Garza García, N.L., México",25.5244165,-100.20259
176,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.5245238,-100.2099081
177,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.524625,-100.207942
178,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52466521,-100.2070939
179,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.5252513,-100.2019203
180,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.525256,-100.204773
181,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52529632,-100.2045344
182,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.525304,-100.204422
183,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.5256601,-100.2066453
184,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52603132,-100.2725063
185,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.52643953,-100.2024599
186,"Avenida José Vasconcelos 1563, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L., Mexico",25.526666,-100.19663
